Класс,Лига,Номер тура,Название команды 1,Название команды 2,Очки команды 1,Очки команды 2
4,Первая лига А,1 тур,Атом (Саров),Жуковский-4,48,32
4,Первая лига А,1 тур,КМЦ-4-Кит-Кат (Казань),СВМ Иваново-4,42,20
4,Первая лига А,1 тур,КМЦ-4-Марс (Казань),Вершина 3-2 (Ижевск),47,10
4,Высшая лига,1 тур,Бобры (СПб),Ураган (СПб),50,24
4,Высшая лига,1 тур,Фрактал 4-1 (СПб),КМЦ-4-Баунти (Казань),24,58
4,Высшая лига,1 тур,Фрактал 4-2 (СПб),Новаторы 4 (Москва),46,16
4,Высшая лига,1 тур,КМЦ-4-Сникерс (Казань),Тюмень-4-НП,25,37
4,Первая лига Б,1 тур,КМЦ-4-Пикник (Казань),КМЦ-4-Твикс (Казань),26,30
4,Первая лига Б,1 тур,Вершина 3-1 (Ижевск),Вершина 4 (Ижевск),35,26
4,Первая лига Б,1 тур,Альфа Волки (СПб),3>4 (Казань),40,22
4,Первая лига А,2 тур,КМЦ-4-Марс (Казань),Атом (Саров),26,42
4,Первая лига А,2 тур,СВМ Иваново-4,Жуковский-4,49,22
4,Первая лига А,2 тур,КМЦ-4-Кит-Кат (Казань),Вершина 3-2 (Ижевск),19,14
4,Высшая лига,2 тур,Тюмень-4-НП,Бобры (СПб),18,36
4,Высшая лига,2 тур,Новаторы 4 (Москва),Фрактал 4-1 (СПб),27,66
4,Высшая лига,2 тур,Ураган (СПб),КМЦ-4-Сникерс (Казань),23,29
4,Высшая лига,2 тур,КМЦ-4-Баунти (Казань),Фрактал 4-2 (СПб),37,39
4,Первая лига Б,2 тур,КМЦ-4-Твикс (Казань),Вершина 4 (Ижевск),41,40
4,Первая лига Б,2 тур,3>4 (Казань),КМЦ-4-Пикник (Казань),3,49
4,Первая лига Б,2 тур,Альфа Волки (СПб),Вершина 3-1 (Ижевск),10,46
4,Первая лига Б,3 тур,Вершина 3-1 (Ижевск),КМЦ-4-Пикник (Казань),46,27
4,Первая лига Б,3 тур,Альфа Волки (СПб),Вершина 4 (Ижевск),36,34
4,Первая лига Б,3 тур,3>4 (Казань),КМЦ-4-Твикс (Казань),0,37
4,Первая лига А,3 тур,КМЦ-4-Кит-Кат (Казань),Жуковский-4,39,41
4,Первая лига А,3 тур,СВМ Иваново-4,КМЦ-4-Марс (Казань),20,34
4,Первая лига А,3 тур,Атом (Саров),Вершина 3-2 (Ижевск),35,14
4,Высшая лига,3 тур,Фрактал 4-2 (СПб),Ураган (СПб),36,25
4,Высшая лига,3 тур,Бобры (СПб),Фрактал 4-1 (СПб),30,50
4,Высшая лига,3 тур,КМЦ-4-Баунти (Казань),КМЦ-4-Сникерс (Казань),22,34
4,Высшая лига,3 тур,Новаторы 4 (Москва),Тюмень-4-НП,31,12
4,Первая лига А,4 тур,КМЦ-4-Кит-Кат (Казань),КМЦ-4-Марс (Казань),47,31
4,Первая лига А,4 тур,Атом (Саров),СВМ Иваново-4,18,41
4,Первая лига А,4 тур,Жуковский-4,Вершина 3-2 (Ижевск),21,14
4,Первая лига Б,4 тур,Вершина 3-1 (Ижевск),КМЦ-4-Твикс (Казань),23,46
4,Первая лига Б,4 тур,Альфа Волки (СПб),КМЦ-4-Пикник (Казань),24,25
4,Первая лига Б,4 тур,3>4 (Казань),Вершина 4 (Ижевск),48,24
4,Высшая лига,4 тур,Новаторы 4 (Москва),Бобры (СПб),24,37
4,Высшая лига,4 тур,Фрактал 4-2 (СПб),КМЦ-4-Сникерс (Казань),46,12
4,Высшая лига,4 тур,Тюмень-4-НП,КМЦ-4-Баунти (Казань),21,27
4,Высшая лига,4 тур,Ураган (СПб),Фрактал 4-1 (СПб),18,60
4,Первая лига А,5 тур,КМЦ-4-Марс (Казань),Жуковский-4,37,33
4,Первая лига А,5 тур,Вершина 3-2 (Ижевск),СВМ Иваново-4,10,34
4,Первая лига А,5 тур,КМЦ-4-Кит-Кат (Казань),Атом (Саров),41,39
4,Первая лига Б,5 тур,Вершина 3-1 (Ижевск),3>4 (Казань),37,28
4,Первая лига Б,5 тур,Альфа Волки (СПб),КМЦ-4-Твикс (Казань),54,25
4,Первая лига Б,5 тур,Вершина 4 (Ижевск),КМЦ-4-Пикник (Казань),27,23
4,Высшая лига,5 тур,Новаторы 4 (Москва),КМЦ-4-Баунти (Казань),42,22
4,Высшая лига,5 тур,Ураган (СПб),Тюмень-4-НП,16,38
4,Высшая лига,5 тур,КМЦ-4-Сникерс (Казань),Фрактал 4-1 (СПб),41,18
4,Высшая лига,5 тур,Фрактал 4-2 (СПб),Бобры (СПб),44,46
5,Высшая лига,1 тур,Казань КМЦ-5-1,Новаторы 5А (Москва),43,10
5,Высшая лига,1 тур,Красноярск-5,Тюмень 5-1,26,38
5,Высшая лига,1 тур,1543-5-1 (Москва),ФМЛ-31-5-1 (Челябинск),30,35
5,Высшая лига,1 тур,Тюмень-5-НП,Hogmaths (Екатеринбург),2,71
5,Высшая лига,1 тур,ФТЛ-5 (Долгопрудный),Новаторы 5Б (Москва),43,33
5,Первая лига,1 тур,Фрактал - 5 (СПб),Казань КМЦ-5-3,20,23
5,Первая лига,1 тур,Тюмень 5-2,ЮМШ 5-2 (СПб),37,47
5,Первая лига,1 тур,Казань КМЦ-5-2,Жуковский 5 сиреневые,14,43
5,Первая лига,1 тур,Формула дружбы (Уфа),ЮМШ 5-1 (СПб),18,57
5,Первая лига,1 тур,Орден Пи (Москва),ФМЛ-31-5-2 (Челябинск),10,54
5,Вторая лига,1 тур,Казань КМЦ-5-4,1543-5-2 (Москва),22,29
5,Вторая лига,1 тур,Москва 1210-5-2,Эрэл-5-2 (Якутск),50,31
5,Вторая лига,1 тур,Москва 1210-5-1,ШЦПМ-5 (Москва),28,56
5,Вторая лига,1 тур,Острый угол (Красноярск),Жуковский 5 пурпурные,32,39
5,Вторая лига,1 тур,Чижик-Пыжик (СПб),Эрэл-5-1 (Якутск),58,18
5,Высшая лига,2 тур,Красноярск-5,Тюмень-5-НП,45,15
5,Высшая лига,2 тур,Казань КМЦ-5-1,ФТЛ-5 (Долгопрудный),35,36
5,Высшая лига,2 тур,Новаторы 5А (Москва),ФМЛ-31-5-1 (Челябинск),39,16
5,Высшая лига,2 тур,Тюмень 5-1,Hogmaths (Екатеринбург),42,27
5,Высшая лига,2 тур,Новаторы 5Б (Москва),1543-5-1 (Москва),12,35
5,Вторая лига,2 тур,Казань КМЦ-5-4,Москва 1210-5-1,25,34
5,Вторая лига,2 тур,Эрэл-5-1 (Якутск),Эрэл-5-2 (Якутск),33,33
5,Вторая лига,2 тур,Острый угол (Красноярск),1543-5-2 (Москва),26,29
5,Вторая лига,2 тур,Чижик-Пыжик (СПб),Москва 1210-5-2,56,18
5,Вторая лига,2 тур,Жуковский 5 пурпурные,ШЦПМ-5 (Москва),30,46
5,Первая лига,2 тур,ФМЛ-31-5-2 (Челябинск),Жуковский 5 сиреневые,37,35
5,Первая лига,2 тур,Фрактал - 5 (СПб),Формула дружбы (Уфа),41,37
5,Первая лига,2 тур,Тюмень 5-2,Орден Пи (Москва),48,12
5,Первая лига,2 тур,Казань КМЦ-5-3,Казань КМЦ-5-2,36,36
5,Первая лига,2 тур,ЮМШ 5-1 (СПб),ЮМШ 5-2 (СПб),39,30
5,Высшая лига,3 тур,Казань КМЦ-5-1,Тюмень 5-1,45,22
5,Высшая лига,3 тур,Hogmaths (Екатеринбург),1543-5-1 (Москва),30,30
5,Высшая лига,3 тур,Красноярск-5,Новаторы 5А (Москва),23,24
5,Высшая лига,3 тур,Тюмень-5-НП,Новаторы 5Б (Москва),12,30
5,Высшая лига,3 тур,ФТЛ-5 (Долгопрудный),ФМЛ-31-5-1 (Челябинск),24,42
5,Вторая лига,3 тур,Острый угол (Красноярск),Эрэл-5-2 (Якутск),36,29
5,Вторая лига,3 тур,Эрэл-5-1 (Якутск),Казань КМЦ-5-4,33,33
5,Вторая лига,3 тур,Москва 1210-5-2,1543-5-2 (Москва),40,28
5,Вторая лига,3 тур,ШЦПМ-5 (Москва),Чижик-Пыжик (СПб),35,49
5,Вторая лига,3 тур,Москва 1210-5-1,Жуковский 5 пурпурные,23,12
5,Первая лига,3 тур,Формула дружбы (Уфа),Орден Пи (Москва),38,30
5,Первая лига,3 тур,Казань КМЦ-5-3,ЮМШ 5-1 (СПб),26,40
5,Первая лига,3 тур,ФМЛ-31-5-2 (Челябинск),ЮМШ 5-2 (СПб),37,35
5,Первая лига,3 тур,Фрактал - 5 (СПб),Жуковский 5 сиреневые,26,40
5,Первая лига,3 тур,Казань КМЦ-5-2,Тюмень 5-2,26,42
5,Высшая лига,4 тур,Тюмень 5-1,ФМЛ-31-5-1 (Челябинск),36,46
5,Высшая лига,4 тур,Красноярск-5,ФТЛ-5 (Долгопрудный),25,48
5,Высшая лига,4 тур,Hogmaths (Екатеринбург),Новаторы 5А (Москва),46,36
5,Высшая лига,4 тур,1543-5-1 (Москва),Тюмень-5-НП,50,16
5,Высшая лига,4 тур,Казань КМЦ-5-1,Новаторы 5Б (Москва),50,38
5,Первая лига,4 тур,Тюмень 5-2,ФМЛ-31-5-2 (Челябинск),48,20
5,Первая лига,4 тур,Орден Пи (Москва),Казань КМЦ-5-2,24,36
5,Первая лига,4 тур,ЮМШ 5-1 (СПб),Фрактал - 5 (СПб),60,36
5,Первая лига,4 тур,Жуковский 5 сиреневые,ЮМШ 5-2 (СПб),24,36
5,Первая лига,4 тур,Формула дружбы (Уфа),Казань КМЦ-5-3,44,52
5,Вторая лига,4 тур,Казань КМЦ-5-4,Острый угол (Красноярск),24,34
5,Вторая лига,4 тур,Эрэл-5-1 (Якутск),Жуковский 5 пурпурные,23,40
5,Вторая лига,4 тур,Чижик-Пыжик (СПб),Москва 1210-5-1,60,18
5,Вторая лига,4 тур,Москва 1210-5-2,ШЦПМ-5 (Москва),36,52
5,Вторая лига,4 тур,Эрэл-5-2 (Якутск),1543-5-2 (Москва),37,28
5,Высшая лига,5 тур,Новаторы 5Б (Москва),Тюмень 5-1,36,45
5,Высшая лига,5 тур,Казань КМЦ-5-1,ФМЛ-31-5-1 (Челябинск),36,26
5,Высшая лига,5 тур,Новаторы 5А (Москва),Тюмень-5-НП,48,9
5,Высшая лига,5 тур,Hogmaths (Екатеринбург),ФТЛ-5 (Долгопрудный),18,54
5,Высшая лига,5 тур,Красноярск-5,1543-5-1 (Москва),36,24
5,Первая лига,5 тур,Тюмень 5-2,ЮМШ 5-1 (СПб),33,53
5,Первая лига,5 тур,Фрактал - 5 (СПб),Орден Пи (Москва),45,25
5,Первая лига,5 тур,Казань КМЦ-5-3,Жуковский 5 сиреневые,34,37
5,Первая лига,5 тур,ФМЛ-31-5-2 (Челябинск),Казань КМЦ-5-2,45,33
5,Первая лига,5 тур,Формула дружбы (Уфа),ЮМШ 5-2 (СПб),36,34
5,Вторая лига,5 тур,1543-5-2 (Москва),Москва 1210-5-1,14,69
5,Вторая лига,5 тур,Эрэл-5-2 (Якутск),Чижик-Пыжик (СПб),25,59
5,Вторая лига,5 тур,Казань КМЦ-5-4,ШЦПМ-5 (Москва),37,45
5,Вторая лига,5 тур,Эрэл-5-1 (Якутск),Острый угол (Красноярск),40,48
5,Вторая лига,5 тур,Жуковский 5 пурпурные,Москва 1210-5-2,41,54
