Класс,Номер тура,Лига,Номер задачи,Тип задачи,Обоснование
4,Командная,Командная олимпиада,1,Тип 3: Задачи на подсчет или пример,Текстовая задача на аккуратный арифметический подсчет времени.
4,Командная,Командная олимпиада,2,Тип 2: Арифметика и теория чисел,"Оценка минимальных и максимальных возможных сумм цифр, четность."
4,Командная,Командная олимпиада,3,Тип 1: Логика и комбинаторика,Классическая дедукция и алгоритмический перебор (шкатулки).
4,Командная,Командная олимпиада,4,Тип 3: Задачи на подсчет или пример,Текстовая задача на движение (дальнобойщик).
4,Командная,Командная олимпиада,5,Тип 3: Задачи на подсчет или пример,"Пространственное мышление, построение геометрического примера (разрезание)."
4,Командная,Командная олимпиада,6,Тип 2: Арифметика и теория чисел,"Простые числа, попарные суммы, анализ четности."
4,Командная,Командная олимпиада,7,Тип 2: Арифметика и теория чисел,Анализ разрядов чисел и остатков (замена цифр).
4,Командная,Командная олимпиада,8,Тип 1: Логика и комбинаторика,Комбинаторная геометрия (шахматные короли).
5,Командная,Командная олимпиада,1,Тип 3: Задачи на подсчет или пример,Геометрический подсчет непокрытой площади.
5,Командная,Командная олимпиада,2,Тип 2: Арифметика и теория чисел,Работа с десятичной записью чисел (ошибки в разрядах).
5,Командная,Командная олимпиада,3,Тип 3: Задачи на подсчет или пример,Подсчет соотношений скоростей и расстояний.
5,Командная,Командная олимпиада,4,Тип 1: Логика и комбинаторика,Алгоритмическая задача на сужение вариантов.
5,Командная,Командная олимпиада,5,Тип 3: Задачи на подсчет или пример,Подсчет пересечений циклических событий (расписание).
5,Командная,Командная олимпиада,6,Тип 2: Арифметика и теория чисел,Анализ четности/нечетности результатов.
5,Командная,Командная олимпиада,7,Тип 1: Логика и комбинаторика,Графовая задача на построение оценки и примера.
5,Командная,Командная олимпиада,8,Тип 1: Логика и комбинаторика,Математическая логика (рыцари и лжецы).
5,5 тур,Высшая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Требуется вычислить скрытые числа на основе сумм.
5,5 тур,Первая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Требуется вычислить скрытые числа на основе сумм.
5,5 тур,Вторая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Требуется вычислить скрытые числа на основе сумм.
5,5 тур,Высшая,1,Тип 3: Задачи на подсчет или пример,Текстовая задача на расчет скоростей и расстояний.
